title;text_fr;text_en;textlong_fr;textlong_en;price;ideditor;pegi
Don't Starve;Don't Starve;Don't Starve;Don?t Starve est un jeu de survie intransigeant en zone sauvage plein d'art et de magie. Vous incarnez Wilson, un scientifique intrÇpide qui a ÇtÇ piÇgÇ par un dÇmon et transportÇ dans un mystÇrieux monde sauvage.;Don?t Starve is an uncompromising wilderness survival game full of science and magic. You play as Wilson, an intrepid Gentleman Scientist who has been trapped by a demon and transported to a mysterious wilderness world. Wilson must learn to exploit his environment and its inhabitants if he ever hopes to escape and find his way back home.;13,99;;16
Daylight;Daylight;Daylight;Vous vous rÇveillez prisonnier d'un hìpital abandonnÇ, votre tÇlÇphone pour seule source de lumiäre. Incapable d'avancer, vous tournez en rond tandis que derriäre, vous percevez une prÇsence et des bruits Çtranges... DÇcouvrez Daylight, un thriller psychologique par gÇnÇration automatique sur PC.;You awake, trapped in an abandoned hospital. Your only source of light is your phone. You hit a dead-end and must turn around, but behind you lurks an eerie presence and strange noises... Experience Daylight, a procedurally generated psychological thriller for your PC.;13,99;;16
Outlast;Outlast;Outlast;Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.;Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.;18,99;;18
FarSky;FarSky;FarSky;Avec Farsky, vous prenez le rìle de Nathan qui s'est perdu dans l'ocÇan apräs le crash du son sous-marin. Vous devez apprendre Ö survivre dans les profondeurs de l'ocÇan.;With FarSky, you take the role of Nathan who got lost in the Ocean after the crash of his submarine. You need to learn how to survive in the depths of the Ocean.;14,99;;16
Rust;Rust;Rust;Le seul but de Rust est de survivre. Pour ce faire, vous aurez besoin de surmonter les difficultÇs telles que la faim, la soif et le froid. Construire un feu. Construire un abri. Tuer des animaux pour la viande. ProtÇgez-vous contre d'autres joueurs. CrÇer des alliances avec d'autres acteurs et forment ensemble une ville. Tout ce qu'il faut pour survivre.;The only aim in Rust is to survive. To do this you will need to overcome struggles such as hunger, thirst and cold. Build a fire. Build a shelter. Kill animals for meat. Protect yourself from other players. Create alliances with other players and together form a town. Whatever it takes to survive.;18,99;;16
7 Days to Die;8 Days to Die;9 Days to Die;S'appuyant sur survivalistes et des thämes d'horreur, les joueurs de 7 jours Ö Die peuvent piÇger les villes abandonnÇes du monde de voxel constructible et destructible pour les fournitures ou explorer la nature Ö recueillir les matiäres premiäres pour construire leurs propres outils, des armes, des piäges, des fortifications et des abris.;Building on survivalist and horror themes, players in 7 Days to Die can scavenge the abandoned cities of the buildable and destructable voxel world for supplies or explore the wilderness to gather raw materials to build their own tools, weapons, traps, fortifications and shelters.;22,99;;18
Minecraft;Minecraft;Minecraft;Minecraft est un jeu de casser et plaáant des blocs. Au dÇbut, les gens ont construit des structures pour protÇger contre les monstres nocturnes, mais que le jeu a grandi joueurs ont travaillÇ ensemble pour crÇer de merveilleux, des choses imaginatives.;Minecraft is a game about breaking and placing blocks. At first, people built structures to protect against nocturnal monsters, but as the game grew players worked together to create wonderful, imaginative things.;19,95;;7
DayZ;DayZ;DayZ;ATTENTION : CE JEU EST UNE VERSION ALPHA EN ACC‘S ANTICIPê. MERCI D'ACHETER CE JEU UNIQUEMENT SI VOUS SOUHAITEZ PARTICIPER ACTIVEMENT AU DêVELOPPEMENT DU JEU ET “TES PR“T ∑ SUBIR DES PROBL‘MES POUVANT ENTRA◊NER UN MAUVAIS FONCTIONNEMENT ET DES INTERRUPTIONS DANS LE JEU.;WARNING: THIS GAME IS EARLY ACCESS ALPHA. PLEASE DO NOT PURCHASE IT UNLESS YOU WANT TO ACTIVELY SUPPORT DEVELOPMENT OF THE GAME AND ARE PREPARED TO HANDLE WITH SERIOUS ISSUES AND POSSIBLE INTERRUPTIONS OF GAME FUNCTIONING.;23,99;;18
Plague Inc: Evolved;Plague Inc: Evolved;Plague Inc: Evolved;"Plague Inc: Evolved est un terrifiant mÇlange entre jeu de simulation rÇaliste et hautement stratÇgique. Votre agent pathogäne vient d'infecter le ""Patient Zero"" - vous devez dÇsormais mettre un terme Ö l'histoire de l'humanitÇ en dÇveloppant une ÇpidÇmie mortelle et globale, tout en vous adaptant contre chaque mesure prise par...";Plague Inc: Evolved is a unique mix of high strategy and terrifyingly realistic simulation. Your pathogen has just infected 'Patient Zero' - now you must bring about the end of human history by evolving a deadly, global Plague whilst adapting against everything humanity can do to defend itself.;13,99;;18
Goat Simulator;Goat Simulator;Goat Simulator;Goat Simulator est la derniäre technologie de simulation de chävre, portant simulation de chävre next-gen pour VOUS. Vous n'avez plus Ö fantasmer sur d'àtre une chävre, vos ràves sont enfin devenu rÇalitÇ! WASD pour Çcrire l'histoire.;Goat Simulator is the latest in goat simulation technology, bringing next-gen goat simulation to YOU. You no longer have to fantasize about being a goat, your dreams have finally come true! WASD to write history.;9,99;;7
